Sales	Product_ID	Online	Mail	eMail	Newspaper	TV	Mobile	Phone	Posters	Referrals
8046.23	1	133	57	176	125	54	15	141	11	48
26700.73	2	60	80	20	177	117	109	10	194	150
22131.43	3	196	167	174	11	67	148	143	167	144
32019.33	4	160	154	50	19	137	142	54	184	173
26341.78	5	155	92	41	119	40	29	40	195	161
14929.57	6	64	18	34	47	175	11	114	152	51
10306.32	7	168	113	151	155	15	10	63	115	20
11104.87	8	87	45	21	34	44	165	178	168	126
28724.88	9	194	140	121	133	129	50	109	25	164
20151.96	10	83	135	95	59	59	172	118	75	165
18480.54	11	20	164	70	126	96	41	140	49	170
25895.84	12	79	31	163	147	142	192	69	49	153
14425.19	13	44	171	169	162	30	172	147	14	171
23069.03	14	149	177	186	163	34	94	81	39	153
12765.06	15	88	137	49	19	11	137	186	69	153
13557.41	16	103	64	129	164	147	160	177	138	74
22315.6	17	31	134	190	192	108	25	137	103	194
23606.59	18	78	103	40	95	84	35	66	96	161
20095.96	19	199	102	43	161	42	83	167	36	150
12183.69	20	119	30	22	107	195	34	198	102	32
24401.97	21	155	97	105	114	96	59	137	107	156
16772.55	22	198	126	184	117	74	132	67	197	38
8655.72	23	179	132	121	127	25	55	122	40	32
15401.58	24	173	190	99	173	37	102	90	145	82
12517.52	25	26	47	20	92	108	171	95	60	85
